config,min_voxels,max_gap,dice,cldice,betti0_err,hd95
raw,-,-,0.8035162606054949,0.8693103299109873,21.25,15.737221330404282
mv50_gap0,50,0,0.8037692040720147,0.8731170525661556,9.05,15.952201908826828
mv50_gap10,50,10,0.8037478363340066,0.8683464362334765,9.15,15.967877215147018
mv50_gap15,50,15,0.8036836916144342,0.8618069868315021,13.55,15.986612218618394
mv50_gap20,50,20,0.8036017492185609,0.8560907287366171,19.85,16.031568425893784
mv50_gap25,50,25,0.8034391316992752,0.8468527428319865,29.75,16.025262373685838
mv100_gap0,100,0,0.8041580059908139,0.8753323526350784,6.4,16.430280607938766
mv100_gap10,100,10,0.8041419277156235,0.8719508772277429,6.9,16.43240515589714
mv100_gap15,100,15,0.8041047606649021,0.8669750118445634,9.95,16.45350551009178
mv100_gap20,100,20,0.8040579963170649,0.8633134268860474,13.75,16.49895514845848
mv100_gap25,100,25,0.8039530043020328,0.8570234903409373,19.95,16.50522064566612
mv200_gap0,200,0,0.804594502283923,0.8764152483232064,3.95,16.323861140012742
mv200_gap10,200,10,0.8045879132888913,0.8750649339286269,4.4,16.325363940000535
mv200_gap15,200,15,0.8045534708651584,0.871508108543136,6.6,16.367554157972336
mv200_gap20,200,20,0.8045433415328272,0.8701671231679853,8.45,16.38659500479698
mv200_gap25,200,25,0.8044794457015948,0.8658382281556116,12.85,16.3876719892025
mv300_gap0,300,0,0.805685023683034,0.8789113799515184,2.85,15.925402301549912
mv300_gap10,300,10,0.8056818226557871,0.8780675402989548,3.35,15.935262817144395
mv300_gap15,300,15,0.8056660160937661,0.875966644873472,4.95,15.935262817144395
mv300_gap20,300,20,0.8056587470931058,0.8751484305961179,6.1,15.935262817144395
mv300_gap25,300,25,0.8056141204626709,0.8717085667678525,9.75,15.928421181440353
mv500_gap0,500,0,0.8054714422536664,0.8794334895463454,1.45,17.176580756902695
mv500_gap10,500,10,0.8054715895186296,0.879152454327156,1.5,17.176580756902695
mv500_gap15,500,15,0.8054693408456425,0.8788377936886524,1.8,17.176580756902695
mv500_gap20,500,20,0.8054713366532983,0.8787780713297307,1.95,17.176580756902695
mv500_gap25,500,25,0.8054470401427215,0.8768204629282682,4.05,17.1821411550045
