id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
931,mean,0.45,raw,0.619915332235967,0.6024353498810329,20,22,2,101.99116516113281
931,mean,0.45,pp,0.6297631114684505,0.6174687002667628,6,8,2,102.24382781982422
931,mean,0.5,raw,0.6278501472046363,0.5817244859962385,20,22,2,101.83466339111328
931,mean,0.5,pp,0.636529519107726,0.6146978091091299,5,7,2,102.04582214355469
931,mean,0.55,raw,0.6332536509987092,0.5774820608966246,26,28,2,101.69217681884766
931,mean,0.55,pp,0.6400097723921981,0.6043085684959235,6,8,2,101.90706634521484
931,mean,0.6,raw,0.6362167719271506,0.5924103502051848,28,30,2,101.45146179199219
931,mean,0.6,pp,0.6512057774222756,0.6573234860229658,4,6,2,100.98019409179688
728,mean,0.45,raw,0.6235104820135776,0.6632166100478435,55,57,2,95.29428100585938
728,mean,0.45,pp,0.632589152829284,0.7249417511184278,9,11,2,91.29074096679688
728,mean,0.5,raw,0.6139470789510808,0.671050147570373,47,49,2,94.04095458984375
728,mean,0.5,pp,0.6112369003920761,0.6959713434493935,7,9,2,89.02696228027344
728,mean,0.55,raw,0.6035445314598581,0.6663267038696167,46,48,2,92.83210754394531
728,mean,0.55,pp,0.6024270552034285,0.683444899481801,7,9,2,88.20799255371094
728,mean,0.6,raw,0.591250016142013,0.6601718152219084,44,46,2,91.68424224853516
728,mean,0.6,pp,0.592602287903555,0.6764839639404314,7,9,2,87.66413116455078
630,mean,0.45,raw,0.6866988513453188,0.7139044724575626,33,35,2,112.42219543457031
630,mean,0.45,pp,0.6987984614912216,0.7464810891854466,7,9,2,109.06924438476562
630,mean,0.5,raw,0.6949595692051502,0.6865282286939631,28,30,2,111.31912994384766
630,mean,0.5,pp,0.7010625363482395,0.7207409331818428,7,9,2,108.75430297851562
630,mean,0.55,raw,0.699162196593187,0.680866865487045,28,30,2,110.00249481201172
630,mean,0.55,pp,0.7074834909596743,0.7104869276978704,5,7,2,106.56922912597656
630,mean,0.6,raw,0.6982515928341559,0.6971480464496591,22,24,2,109.02293395996094
630,mean,0.6,pp,0.7116759935556923,0.7441431834685723,3,5,2,106.68177032470703
936,mean,0.45,raw,0.849472710115633,0.9158257977691047,14,16,2,10.488088607788086
936,mean,0.45,pp,0.8483239966953042,0.9197589074384893,2,4,2,12.481956481933594
936,mean,0.5,raw,0.8458130841135906,0.9144878547837946,7,9,2,12.688577651977539
936,mean,0.5,pp,0.8430012373932,0.9084702262942818,2,4,2,15.192094802856445
936,mean,0.55,raw,0.8420290821151474,0.9042757538508576,11,13,2,13.601470947265625
936,mean,0.55,pp,0.8374925898319326,0.8895310273401683,3,5,2,19.529470443725586
936,mean,0.6,raw,0.8344394026270253,0.8920941395299694,9,11,2,15.65247631072998
936,mean,0.6,pp,0.8296171973358025,0.8752191915870748,3,5,2,21.104507446289062
761,mean,0.45,raw,0.8134662526571869,0.8929774513669047,11,14,3,27.41533088684082
761,mean,0.45,pp,0.8169173580182917,0.9083201761234403,0,3,3,27.528018951416016
761,mean,0.5,raw,0.8198883730300195,0.9077301214746637,15,18,3,24.556034088134766
761,mean,0.5,pp,0.8218236801224593,0.9181285381070305,2,5,3,25.45584487915039
761,mean,0.55,raw,0.8232183631790202,0.9125362371759655,11,14,3,15.642858505249023
761,mean,0.55,pp,0.8261798507863416,0.9179370058493337,2,5,3,8.83176040649414
761,mean,0.6,raw,0.824672529366278,0.9135461530980123,10,13,3,10.339147567749023
761,mean,0.6,pp,0.8258042948524619,0.9241384342026896,3,6,3,7.348469257354736
764,mean,0.45,raw,0.8504711183949399,0.9365534181327402,9,11,2,3.0
764,mean,0.45,pp,0.8519745165633797,0.9475747188169535,1,3,2,3.605551242828369
764,mean,0.5,raw,0.8523618436146964,0.9390095981689208,4,6,2,4.242640495300293
764,mean,0.5,pp,0.8529632795432863,0.941655215974476,1,3,2,4.242640495300293
764,mean,0.55,raw,0.8514353255090553,0.9297478049180248,9,11,2,4.934100151062012
764,mean,0.55,pp,0.8501746243826608,0.9273122172228192,1,3,2,7.0
764,mean,0.6,raw,0.8483097784577426,0.9185557838898234,11,13,2,6.4031243324279785
764,mean,0.6,pp,0.847347670251808,0.9162004896170284,1,3,2,8.83176040649414
1000,mean,0.45,raw,0.8052323264544788,0.8781066066482796,10,12,2,8.66025447845459
1000,mean,0.45,pp,0.8063582653449785,0.8881782455942625,2,4,2,6.324555397033691
1000,mean,0.5,raw,0.8126935937166639,0.8946236517532234,14,16,2,7.549834251403809
1000,mean,0.5,pp,0.8150884818398522,0.9029308470262136,2,4,2,4.690415859222412
1000,mean,0.55,raw,0.8172859025052196,0.9031784601214018,15,17,2,6.7082037925720215
1000,mean,0.55,pp,0.8166480387480265,0.9052124610703675,1,3,2,6.480740547180176
1000,mean,0.6,raw,0.8195751138107568,0.9016328103288115,13,15,2,5.665590763092041
1000,mean,0.6,pp,0.8205279747852582,0.9083988810915667,2,4,2,7.0
916,mean,0.45,raw,0.7906152339214458,0.846750083921146,9,11,2,26.25260353088379
916,mean,0.45,pp,0.7923335826496603,0.858202925202787,2,4,2,24.617067337036133
916,mean,0.5,raw,0.79474917598839,0.8552978474160081,10,12,2,24.010412216186523
916,mean,0.5,pp,0.7998695969029276,0.8722262315023878,0,2,2,20.007465362548828
916,mean,0.55,raw,0.7958487595856937,0.8547397289584415,10,12,2,21.98179054260254
916,mean,0.55,pp,0.7984355903221859,0.8634641574078321,0,2,2,19.10497283935547
916,mean,0.6,raw,0.7968828905566151,0.8473751972761028,9,11,2,20.248456954956055
916,mean,0.6,pp,0.7988860709155216,0.8560569491625288,1,3,2,18.248287200927734
