id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
931,mean,0.45,raw,0.6159013757438645,0.5688424529715611,32,34,2,102.09455871582031
931,mean,0.45,pp,0.6281742456350666,0.5912691164327069,8,10,2,102.497802734375
931,mean,0.5,raw,0.6099667774160424,0.5600602291190274,35,37,2,102.298583984375
931,mean,0.5,pp,0.6220095693854331,0.5741378837580278,6,8,2,102.70832824707031
931,mean,0.55,raw,0.6112581188434918,0.5672163502190791,28,30,2,102.53218841552734
931,mean,0.55,pp,0.6231085526393275,0.5849698754168414,6,8,2,102.79591369628906
931,mean,0.6,raw,0.619477533968245,0.576959260065171,31,33,2,102.43436431884766
931,mean,0.6,pp,0.6314866685276255,0.6028017461954448,5,7,2,102.66937255859375
728,mean,0.45,raw,0.6029814692671247,0.6477560130513276,55,57,2,96.58052825927734
728,mean,0.45,pp,0.6057526894097559,0.6830607701665851,12,14,2,87.83451080322266
728,mean,0.5,raw,0.5915221580009455,0.6426586884864607,58,60,2,95.82039642333984
728,mean,0.5,pp,0.5875007547903207,0.6594272063315612,11,13,2,87.93179321289062
728,mean,0.55,raw,0.5610497272748408,0.6164984679301971,72,74,2,95.10650634765625
728,mean,0.55,pp,0.5503769342739007,0.6514603577519312,7,9,2,88.85717010498047
728,mean,0.6,raw,0.5430258419886806,0.6293858214637178,64,66,2,93.88423156738281
728,mean,0.6,pp,0.5301145258365588,0.6443184052878086,6,8,2,88.00226593017578
630,mean,0.45,raw,0.6489528467574468,0.6227142690849434,31,33,2,116.30842590332031
630,mean,0.45,pp,0.6672606800967605,0.6586273624118271,7,9,2,114.19719696044922
630,mean,0.5,raw,0.6686042671301176,0.6497692172350544,28,30,2,114.07891845703125
630,mean,0.5,pp,0.6875904701948606,0.6919467004191574,6,8,2,113.4460220336914
630,mean,0.55,raw,0.6829003761098067,0.6773497902313257,29,31,2,112.52555084228516
630,mean,0.55,pp,0.6982167844767282,0.7277951090920869,6,8,2,108.85770416259766
630,mean,0.6,raw,0.6858870453733424,0.663009705447438,34,36,2,110.45813751220703
630,mean,0.6,pp,0.7030895771325747,0.7248148764418599,5,7,2,106.4448013305664
936,mean,0.45,raw,0.8432589366735324,0.9075005789314626,22,24,2,6.434201240539551
936,mean,0.45,pp,0.844949171170941,0.91768082306231,2,4,2,13.190905570983887
936,mean,0.5,raw,0.8435173869584536,0.9158390729310671,18,20,2,6.928203105926514
936,mean,0.5,pp,0.8447416707818826,0.9152571452563018,3,5,2,13.652840614318848
936,mean,0.55,raw,0.8407169108978325,0.9036319710035475,19,21,2,8.602325439453125
936,mean,0.55,pp,0.8353419776508356,0.89273306989088,1,3,2,19.25617218017578
936,mean,0.6,raw,0.8364175826308783,0.9004400855799475,14,16,2,11.180339813232422
936,mean,0.6,pp,0.8316185793529591,0.8876008969455018,1,3,2,19.748416900634766
761,mean,0.45,raw,0.7964176706843661,0.8538341542569029,25,28,3,40.62019348144531
761,mean,0.45,pp,0.8037001305276683,0.8798686362552206,3,6,3,39.293766021728516
761,mean,0.5,raw,0.8079253886026286,0.8834339979919876,20,23,3,36.491783142089844
761,mean,0.5,pp,0.8140580097589549,0.9140157767205788,1,4,3,36.728736877441406
761,mean,0.55,raw,0.8129012508412947,0.8932517673513478,12,15,3,35.017852783203125
761,mean,0.55,pp,0.8157591582843461,0.9094539973389034,1,4,3,35.58928680419922
761,mean,0.6,raw,0.8150222168133437,0.898269371814142,14,17,3,32.625083923339844
761,mean,0.6,pp,0.8169473207142127,0.910721608610478,3,6,3,30.96665382385254
764,mean,0.45,raw,0.8479185793948993,0.9343497031293773,12,14,2,3.0
764,mean,0.45,pp,0.8485123753779423,0.9388153726774882,2,4,2,3.605551242828369
764,mean,0.5,raw,0.8502089084755099,0.9273205994536681,10,12,2,3.7416574954986572
764,mean,0.5,pp,0.8504822599292314,0.9317094280164063,2,4,2,4.690415859222412
764,mean,0.55,raw,0.8496619846588341,0.9262614899531235,8,10,2,4.690415859222412
764,mean,0.55,pp,0.8505569596564018,0.9316712269328667,1,3,2,5.830951690673828
764,mean,0.6,raw,0.8453498777077769,0.9164384625650602,11,13,2,6.324555397033691
764,mean,0.6,pp,0.8455116567943489,0.9167812413210816,3,5,2,7.141428470611572
1000,mean,0.45,raw,0.7897912014750089,0.860012230934678,15,17,2,12.427743911743164
1000,mean,0.45,pp,0.7894182187092923,0.8643186966084081,4,6,2,10.862780570983887
1000,mean,0.5,raw,0.7978365529903729,0.8778069867026226,14,16,2,11.357816696166992
1000,mean,0.5,pp,0.7988322233393259,0.8821211482688844,4,6,2,8.602325439453125
1000,mean,0.55,raw,0.804188264567653,0.8713114215558578,14,16,2,9.949873924255371
1000,mean,0.55,pp,0.8077072016933268,0.8835180917176475,4,6,2,6.4031243324279785
1000,mean,0.6,raw,0.8079867599187658,0.8845420218576702,22,24,2,8.485280990600586
1000,mean,0.6,pp,0.8131808515275685,0.9022210384376084,4,6,2,7.0
916,mean,0.45,raw,0.784776515712266,0.8353623069542625,13,15,2,26.248809814453125
916,mean,0.45,pp,0.787627987929904,0.8552323390625108,2,4,2,20.685691833496094
916,mean,0.5,raw,0.7907568489620231,0.8441292438224232,12,14,2,22.847318649291992
916,mean,0.5,pp,0.7923765630332026,0.8548536719458247,2,4,2,20.02498435974121
916,mean,0.55,raw,0.795475784465876,0.8453738670241207,18,20,2,20.63853645324707
916,mean,0.55,pp,0.797776273810328,0.8638491537786969,1,3,2,19.51922035217285
916,mean,0.6,raw,0.7979769211902973,0.8516052142419528,15,17,2,19.442222595214844
916,mean,0.6,pp,0.7963193088368511,0.8538093614944401,1,3,2,19.02629852294922
