id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
931,mean,0.4,raw,0.6107606028809891,0.623106768578671,26,28,2,101.90314483642578
931,mean,0.4,pp,0.624630470841001,0.6420080446073108,6,8,2,102.18267822265625
931,mean,0.45,raw,0.6197110518152257,0.6014916850271119,20,22,2,101.98529052734375
931,mean,0.45,pp,0.6295538579997831,0.6166396065924132,6,8,2,102.24064636230469
931,mean,0.5,raw,0.6279293492971885,0.580594898558336,20,22,2,101.842529296875
931,mean,0.5,pp,0.6365972808138628,0.6134324533589901,5,7,2,102.05047607421875
931,mean,0.55,raw,0.6332643590486918,0.5788077062647207,26,28,2,101.69635772705078
931,mean,0.55,pp,0.6400618968188284,0.6043085684959235,6,8,2,101.90682220458984
931,mean,0.6,raw,0.6359916913275846,0.5900564380896347,28,30,2,101.45097351074219
931,mean,0.6,pp,0.651003826154271,0.6573234860229658,4,6,2,100.98019409179688
931,max,0.4,raw,0.5568956924235402,0.5263833313851635,32,34,2,101.43668365478516
931,max,0.4,pp,0.5700957739971415,0.5489313442401631,9,11,2,101.26203918457031
931,max,0.45,raw,0.5706708545755206,0.542012060717887,27,29,2,101.419921875
931,max,0.45,pp,0.5839245649205033,0.5622705219489024,8,10,2,101.2867202758789
931,max,0.5,raw,0.5828613642024307,0.537192512386375,23,25,2,101.43840026855469
931,max,0.5,pp,0.5971429472486338,0.5563045619575088,8,10,2,101.3607406616211
931,max,0.55,raw,0.5927023581964197,0.5389223795594782,25,27,2,101.43470764160156
931,max,0.55,pp,0.6087753465523988,0.5714078882321346,9,11,2,101.40340423583984
931,max,0.6,raw,0.6010011196798887,0.5523391735039538,25,27,2,101.43717193603516
931,max,0.6,pp,0.6204212065132256,0.5976509167540803,8,10,2,101.53546142578125
728,mean,0.4,raw,0.6314493840187152,0.6618054253096601,60,62,2,96.21330261230469
728,mean,0.4,pp,0.6383810823142522,0.7071565494117678,11,13,2,91.5701904296875
728,mean,0.45,raw,0.6236213128177263,0.6612183582620601,55,57,2,95.28954315185547
728,mean,0.45,pp,0.632694368381561,0.7245372946576016,9,11,2,91.3257827758789
728,mean,0.5,raw,0.613913569058762,0.6712296263936138,46,48,2,94.0489273071289
728,mean,0.5,pp,0.6112217754455773,0.6959713434493935,7,9,2,89.02808380126953
728,mean,0.55,raw,0.6036095672315793,0.6679690888849491,45,47,2,92.83291625976562
728,mean,0.55,pp,0.6024676955122121,0.683444899481801,7,9,2,88.20855712890625
728,mean,0.6,raw,0.5912107206538871,0.6591380229794286,44,46,2,91.68424224853516
728,mean,0.6,pp,0.5925441122625198,0.6750462078369311,7,9,2,87.66156005859375
728,max,0.4,raw,0.6156941997476794,0.6536525262232437,45,47,2,98.90399169921875
728,max,0.4,pp,0.6260563689959455,0.6729459428270834,9,11,2,97.21368408203125
728,max,0.45,raw,0.6255428978317413,0.618405949315745,41,43,2,98.4438705444336
728,max,0.45,pp,0.6366512842397787,0.6476629561877258,10,12,2,95.71833801269531
728,max,0.5,raw,0.6331564501405932,0.6216705266118634,44,46,2,97.94896697998047
728,max,0.5,pp,0.6434598174865953,0.6537786383799297,11,13,2,95.06839752197266
728,max,0.55,raw,0.6399518720130101,0.6377657253151316,49,51,2,97.38224029541016
728,max,0.55,pp,0.6493915011589827,0.6698400167063343,13,15,2,94.1971206665039
728,max,0.6,raw,0.64460259600335,0.6377822670668781,56,58,2,96.8813705444336
728,max,0.6,pp,0.6520397872248607,0.6467765288986869,11,13,2,93.88394165039062
630,mean,0.4,raw,0.6783875543988653,0.6805689115379268,39,41,2,112.87714385986328
630,mean,0.4,pp,0.6952598910105,0.7279254953411883,7,9,2,109.58169555664062
630,mean,0.45,raw,0.6866302683320022,0.7142317802359779,33,35,2,112.43286895751953
630,mean,0.45,pp,0.6987168578384209,0.7464810891854466,7,9,2,109.07473754882812
630,mean,0.5,raw,0.6950197409486906,0.6865282286939631,28,30,2,111.32249450683594
630,mean,0.5,pp,0.7011243083265583,0.7207409331818428,7,9,2,108.76005554199219
630,mean,0.55,raw,0.6991872835949839,0.6841472446272151,28,30,2,109.98726654052734
630,mean,0.55,pp,0.7075093752911825,0.7104869276978704,5,7,2,106.56922912597656
630,mean,0.6,raw,0.6981645768951871,0.6971480464496591,22,24,2,109.02017974853516
630,mean,0.6,pp,0.7115731168368539,0.7441431834685723,3,5,2,106.69300842285156
630,max,0.4,raw,0.5800417893968225,0.5723513261397519,45,47,2,120.72282409667969
630,max,0.4,pp,0.5979692004103414,0.6059396931088935,16,18,2,119.54496765136719
630,max,0.45,raw,0.5927754915462438,0.5634401795110523,42,44,2,120.19151306152344
630,max,0.45,pp,0.6163270850364531,0.5984305842317239,15,17,2,118.78278350830078
630,max,0.5,raw,0.603395874706496,0.5627391734439912,47,49,2,119.62023162841797
630,max,0.5,pp,0.6297346481071321,0.6176416519146147,14,16,2,117.48062896728516
