id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
936,mean,0.5,raw,0.8301094306233391,0.8881696956956796,9,11,2,13.152946472167969
936,mean,0.5,pp,0.8257574322164413,0.8746912277718765,3,5,2,18.17691421508789
936,mean,0.55,raw,0.8271937304211925,0.8755879077191988,14,16,2,13.601470947265625
936,mean,0.55,pp,0.818913305966492,0.8461533581733585,2,4,2,21.456939697265625
936,mean,0.6,raw,0.821717674139098,0.8591626692077095,15,17,2,14.628738403320312
936,mean,0.6,pp,0.8148293563951862,0.83160447376442,2,4,2,22.360679626464844
936,mean,0.65,raw,0.8125726433762894,0.8446262549349723,12,14,2,20.134552001953125
936,mean,0.65,pp,0.8078285070194433,0.8239482961080448,2,4,2,23.790754318237305
761,mean,0.5,raw,0.7881385128623682,0.8803753812672724,14,17,3,39.49304962158203
761,mean,0.5,pp,0.7892721596234209,0.889412069971762,4,7,3,39.742923736572266
761,mean,0.55,raw,0.7904273092110846,0.8645095522292736,14,17,3,38.131351470947266
761,mean,0.55,pp,0.7921515772030088,0.8733253987439725,3,6,3,38.601806640625
761,mean,0.6,raw,0.7920968567463326,0.8674820807571679,15,18,3,35.26047134399414
761,mean,0.6,pp,0.7937061081548734,0.8774185134397419,3,6,3,34.47895431518555
761,mean,0.65,raw,0.7918225692768666,0.8791874832285793,7,10,3,29.1195011138916
761,mean,0.65,pp,0.7897109375727671,0.8762474676490326,2,5,3,29.483766555786133
764,mean,0.5,raw,0.8512962465193148,0.9390683532824787,5,7,2,3.1622776985168457
764,mean,0.5,pp,0.8500630372501429,0.9348208417441031,1,3,2,5.099019527435303
764,mean,0.55,raw,0.8512671133128386,0.9326033826738818,8,10,2,4.242640495300293
764,mean,0.55,pp,0.8501204706824526,0.9267985550276302,2,4,2,7.0
764,mean,0.6,raw,0.8501944602551094,0.922963686708975,6,8,2,5.385164737701416
764,mean,0.6,pp,0.8499208236719435,0.9215954443772882,2,4,2,7.874007701873779
764,mean,0.65,raw,0.8480583286063178,0.9176156106712197,4,6,2,7.549834251403809
764,mean,0.65,pp,0.8480513758376154,0.9172887783119172,3,5,2,8.306623458862305
1000,mean,0.5,raw,0.8027938137002475,0.8964378167482415,12,14,2,9.949873924255371
1000,mean,0.5,pp,0.8058418183708131,0.9075386677593867,1,3,2,5.916079998016357
1000,mean,0.55,raw,0.8068074773418308,0.8906898958109749,16,18,2,8.062257766723633
1000,mean,0.55,pp,0.8095664919719335,0.9173138847761201,1,3,2,5.385164737701416
1000,mean,0.6,raw,0.8080060260431722,0.8939428219979318,14,16,2,5.830951690673828
1000,mean,0.6,pp,0.8057430599287463,0.8917817818560824,2,4,2,7.8102498054504395
1000,mean,0.65,raw,0.8063158127376295,0.8829575316833773,23,25,2,5.0
1000,mean,0.65,pp,0.8030017085639929,0.8802741094769004,2,4,2,11.401754379272461
916,mean,0.5,raw,0.7938285692387945,0.8528480456353633,7,9,2,16.90118980407715
916,mean,0.5,pp,0.7962945148835417,0.8662800097483782,0,2,2,16.61324691772461
916,mean,0.55,raw,0.7953389871881158,0.8529103990269084,8,10,2,16.252700805664062
916,mean,0.55,pp,0.7972489091533719,0.8619969570569317,1,3,2,16.248077392578125
916,mean,0.6,raw,0.7951312014158124,0.8555080074160936,12,14,2,15.68438720703125
916,mean,0.6,pp,0.7960115831288771,0.8593876992228451,1,3,2,15.779733657836914
916,mean,0.65,raw,0.794357487143737,0.8552794803494357,8,10,2,15.03160572052002
916,mean,0.65,pp,0.7950912549087947,0.8561377256993803,1,3,2,15.059835433959961
243,mean,0.5,raw,0.7010922344665249,0.8070749144348249,15,16,1,14.456831932067871
243,mean,0.5,pp,0.7008356278624552,0.8079140999064572,9,10,1,14.764822959899902
243,mean,0.55,raw,0.69471754605912,0.8068487825526399,21,22,1,14.764822959899902
243,mean,0.55,pp,0.695929142831004,0.8124051945382557,9,10,1,15.165750503540039
243,mean,0.6,raw,0.6866093848349359,0.7952221739085543,25,26,1,15.620499610900879
243,mean,0.6,pp,0.6835845560638766,0.7897653150045544,9,10,1,24.83948516845703
243,mean,0.65,raw,0.6777105181272178,0.7911987167897377,21,22,1,16.67333221435547
243,mean,0.65,pp,0.6774347884352576,0.7908289183379528,8,9,1,26.935104370117188
5,mean,0.5,raw,0.8618832775448442,0.9509707902615416,6,10,4,2.2360680103302
5,mean,0.5,pp,0.8600556902916997,0.9469671221147274,2,2,4,4.123105525970459
