id,fuse,thr,stage,dice,cldice,betti0_err,n_pred,n_gt,hd95
931,mean,0.3,raw,0.5581257589734603,0.5169025327799809,32,34,2,101.80962371826172
931,mean,0.3,pp,0.5702353030253426,0.5451551433165549,11,13,2,102.06370544433594
931,mean,0.35,raw,0.584899073257825,0.5423027503803242,33,35,2,100.90093994140625
931,mean,0.35,pp,0.5954250266615712,0.5695561809887446,10,12,2,100.82460021972656
931,mean,0.4,raw,0.6077656515444235,0.5584166491218311,30,32,2,100.46890258789062
931,mean,0.4,pp,0.6211459801391891,0.5965657022280713,8,10,2,100.76705932617188
931,mean,0.45,raw,0.6254855014697972,0.6005002143484386,35,37,2,100.1493911743164
931,mean,0.45,pp,0.644446880830968,0.6509997628003108,7,9,2,99.5740966796875
931,mean,0.5,raw,0.6381298431715893,0.6219332482944321,28,30,2,99.8298568725586
931,mean,0.5,pp,0.6545226130719026,0.6719861666967424,6,8,2,98.70992279052734
931,mean,0.55,raw,0.6509995540369767,0.6240980919094246,26,28,2,99.32672882080078
931,mean,0.55,pp,0.6656092628639991,0.6815832322691963,6,8,2,97.80362701416016
931,mean,0.6,raw,0.6617955756567537,0.6462889713522278,24,26,2,99.02020263671875
931,mean,0.6,pp,0.6771451084544199,0.6965198257448775,4,6,2,98.07089233398438
931,max,0.3,raw,0.4780762772909802,0.47612665274732413,42,44,2,101.8292465209961
931,max,0.3,pp,0.48981849016885437,0.49550860109945255,14,16,2,101.73003387451172
931,max,0.35,raw,0.49685242194512974,0.46824800145616174,43,45,2,101.88719177246094
931,max,0.35,pp,0.5126144112905773,0.49718626655740844,13,15,2,101.98529052734375
931,max,0.4,raw,0.5134929385268876,0.46458319144259147,41,43,2,102.068603515625
931,max,0.4,pp,0.5287042542903846,0.4993136046245533,12,14,2,102.1469497680664
931,max,0.45,raw,0.5287437996265596,0.5272545000714977,42,44,2,102.14205932617188
931,max,0.45,pp,0.5450166206610934,0.5672577204024931,11,13,2,102.31324768066406
931,max,0.5,raw,0.5445448860147742,0.5213222735518616,37,39,2,102.09799194335938
931,max,0.5,pp,0.5590858010251305,0.5515115737580278,12,14,2,102.2007827758789
931,max,0.55,raw,0.556405353735014,0.5166247001427005,35,37,2,101.89209747314453
931,max,0.55,pp,0.5685558411174452,0.5491404377662126,12,14,2,102.02499389648438
931,max,0.6,raw,0.5681915088084274,0.5268715886250174,36,38,2,101.64299774169922
931,max,0.6,pp,0.5782385668080301,0.5589177443677532,12,14,2,101.73149871826172
728,mean,0.3,raw,0.6970841220520299,0.7647968459747765,34,36,2,90.87490844726562
728,mean,0.3,pp,0.7086893019376493,0.7967252083856537,3,5,2,85.61278533935547
728,mean,0.35,raw,0.6969262062374479,0.760152495161089,32,34,2,86.90799713134766
728,mean,0.35,pp,0.7051897397318319,0.8045411018828864,3,5,2,84.72307586669922
728,mean,0.4,raw,0.7007492572051335,0.7588651527682508,29,31,2,84.97381591796875
728,mean,0.4,pp,0.7013547666341116,0.7783818001627006,4,6,2,84.12401580810547
728,mean,0.45,raw,0.7016442882360586,0.7504072413730344,26,28,2,84.11896514892578
728,mean,0.45,pp,0.7057994676958043,0.7786044625374421,4,6,2,79.97434997558594
728,mean,0.5,raw,0.7002388806768259,0.763753138066164,23,25,2,83.04276275634766
728,mean,0.5,pp,0.7020741744085438,0.7811174842705724,4,6,2,79.6489028930664
728,mean,0.55,raw,0.6959314275072879,0.7678997263140303,17,19,2,82.03047943115234
728,mean,0.55,pp,0.6966847512716494,0.7749551750438154,4,6,2,79.2281494140625
728,mean,0.6,raw,0.6894382346269172,0.7601191232195111,15,17,2,80.85789489746094
728,mean,0.6,pp,0.6917092795035298,0.7754918511384145,3,5,2,76.89603424072266
728,max,0.3,raw,0.6559369438117134,0.7121827586924313,44,46,2,97.02577209472656
728,max,0.3,pp,0.6735423901435761,0.7597706008223729,7,9,2,92.9712142944336
728,max,0.35,raw,0.6675688890470124,0.704858713222342,42,44,2,96.50906372070312
728,max,0.35,pp,0.6839939160804868,0.7574114096570262,7,9,2,92.09993743896484
728,max,0.4,raw,0.6773201882170977,0.7364660428989042,39,41,2,96.02942657470703
