作业 16831428 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [复用] 切片索引 splits/sidx_train_k2_n700.json （152946 个切片样本）
  [复用] 切片索引 splits/sidx_val_k2_n100.json （22171 个切片样本）
train batches=4443  val batches=743

--- Epoch 1/100 (lr=5.00e-04) ---
    [train] iter 20/4443  loss=1.2302
    [train] iter 40/4443  loss=1.1889
    [train] iter 60/4443  loss=1.1578
    [train] iter 80/4443  loss=1.1056
    [train] iter 100/4443  loss=1.0641
    [train] iter 120/4443  loss=1.0590
    [train] iter 140/4443  loss=0.9889
    [train] iter 160/4443  loss=0.9583
    [train] iter 180/4443  loss=0.9196
    [train] iter 200/4443  loss=0.8161
    [train] iter 220/4443  loss=0.7279
    [train] iter 240/4443  loss=0.6856
    [train] iter 260/4443  loss=0.8428
    [train] iter 280/4443  loss=0.7139
    [train] iter 300/4443  loss=0.6707
    [train] iter 320/4443  loss=0.5202
    [train] iter 340/4443  loss=0.6489
    [train] iter 360/4443  loss=0.5731
    [train] iter 380/4443  loss=0.4878
    [train] iter 400/4443  loss=0.5688
    [train] iter 420/4443  loss=0.4931
    [train] iter 440/4443  loss=0.5880
    [train] iter 460/4443  loss=0.5608
    [train] iter 480/4443  loss=0.7763
    [train] iter 500/4443  loss=0.5980
    [train] iter 520/4443  loss=0.6643
    [train] iter 540/4443  loss=0.5497
    [train] iter 560/4443  loss=0.5844
    [train] iter 580/4443  loss=0.5270
    [train] iter 600/4443  loss=0.3956
    [train] iter 620/4443  loss=0.4693
    [train] iter 640/4443  loss=0.5686
    [train] iter 660/4443  loss=0.4430
    [train] iter 680/4443  loss=0.4882
    [train] iter 700/4443  loss=0.5659
    [train] iter 720/4443  loss=0.6262
    [train] iter 740/4443  loss=0.5181
    [train] iter 760/4443  loss=0.4649
    [train] iter 780/4443  loss=0.5933
    [train] iter 800/4443  loss=0.4649
    [train] iter 820/4443  loss=0.5026
    [train] iter 840/4443  loss=0.5477
    [train] iter 860/4443  loss=0.5059
    [train] iter 880/4443  loss=0.4343
    [train] iter 900/4443  loss=0.5075
    [train] iter 920/4443  loss=0.4417
    [train] iter 940/4443  loss=0.5309
    [train] iter 960/4443  loss=0.4566
    [train] iter 980/4443  loss=0.3321
    [train] iter 1000/4443  loss=0.5883
    [train] iter 1020/4443  loss=0.5235
    [train] iter 1040/4443  loss=0.3642
    [train] iter 1060/4443  loss=0.6312
    [train] iter 1080/4443  loss=0.4118
    [train] iter 1100/4443  loss=0.4898
    [train] iter 1120/4443  loss=0.4974
    [train] iter 1140/4443  loss=0.4801
    [train] iter 1160/4443  loss=0.3246
    [train] iter 1180/4443  loss=0.4181
    [train] iter 1200/4443  loss=0.3999
    [train] iter 1220/4443  loss=0.5921
    [train] iter 1240/4443  loss=0.6114
    [train] iter 1260/4443  loss=0.4399
    [train] iter 1280/4443  loss=0.3395
    [train] iter 1300/4443  loss=0.6544
    [train] iter 1320/4443  loss=0.3135
    [train] iter 1340/4443  loss=0.3400
    [train] iter 1360/4443  loss=0.3433
    [train] iter 1380/4443  loss=0.4956
    [train] iter 1400/4443  loss=0.6216
    [train] iter 1420/4443  loss=0.5513
    [train] iter 1440/4443  loss=0.4009
    [train] iter 1460/4443  loss=0.5845
    [train] iter 1480/4443  loss=0.4755
    [train] iter 1500/4443  loss=0.4891
    [train] iter 1520/4443  loss=0.4620
    [train] iter 1540/4443  loss=0.4902
    [train] iter 1560/4443  loss=0.3571
    [train] iter 1580/4443  loss=0.4326
    [train] iter 1600/4443  loss=0.5295
    [train] iter 1620/4443  loss=0.5597
    [train] iter 1640/4443  loss=0.3957
    [train] iter 1660/4443  loss=0.5099
    [train] iter 1680/4443  loss=0.4058
    [train] iter 1700/4443  loss=0.5000
    [train] iter 1720/4443  loss=0.3852
    [train] iter 1740/4443  loss=0.5527
    [train] iter 1760/4443  loss=0.4731
    [train] iter 1780/4443  loss=0.4125
    [train] iter 1800/4443  loss=0.4956
    [train] iter 1820/4443  loss=0.4334
    [train] iter 1840/4443  loss=0.4133
    [train] iter 1860/4443  loss=0.3363
    [train] iter 1880/4443  loss=0.5994
    [train] iter 1900/4443  loss=0.6371
    [train] iter 1920/4443  loss=0.6530
    [train] iter 1940/4443  loss=0.4151
    [train] iter 1960/4443  loss=0.4620
    [train] iter 1980/4443  loss=0.4565
    [train] iter 2000/4443  loss=0.4988
    [train] iter 2020/4443  loss=0.4377
    [train] iter 2040/4443  loss=0.3885
    [train] iter 2060/4443  loss=0.4986
    [train] iter 2080/4443  loss=0.4605
    [train] iter 2100/4443  loss=0.5144
    [train] iter 2120/4443  loss=0.3930
    [train] iter 2140/4443  loss=0.4375
    [train] iter 2160/4443  loss=0.4046
    [train] iter 2180/4443  loss=0.3639
    [train] iter 2200/4443  loss=0.4166
    [train] iter 2220/4443  loss=0.4680
    [train] iter 2240/4443  loss=0.6260
    [train] iter 2260/4443  loss=0.4623
    [train] iter 2280/4443  loss=0.3834
    [train] iter 2300/4443  loss=0.3398
    [train] iter 2320/4443  loss=0.5150
    [train] iter 2340/4443  loss=0.4091
    [train] iter 2360/4443  loss=0.4054
    [train] iter 2380/4443  loss=0.3335
    [train] iter 2400/4443  loss=0.4308
    [train] iter 2420/4443  loss=0.3502
    [train] iter 2440/4443  loss=0.3363
    [train] iter 2460/4443  loss=0.4280
    [train] iter 2480/4443  loss=0.5302
    [train] iter 2500/4443  loss=0.5602
    [train] iter 2520/4443  loss=0.3864
    [train] iter 2540/4443  loss=0.3575
    [train] iter 2560/4443  loss=0.4688
    [train] iter 2580/4443  loss=0.4944
    [train] iter 2600/4443  loss=0.5994
    [train] iter 2620/4443  loss=0.4200
    [train] iter 2640/4443  loss=0.4170
    [train] iter 2660/4443  loss=0.3573
    [train] iter 2680/4443  loss=0.4069
    [train] iter 2700/4443  loss=0.5252
    [train] iter 2720/4443  loss=0.3747
    [train] iter 2740/4443  loss=0.4470
    [train] iter 2760/4443  loss=0.3705
    [train] iter 2780/4443  loss=0.4828
    [train] iter 2800/4443  loss=0.3726
