作业 17180024 在 host.cluster.example.org 启动
CUDA: True NVIDIA A100-SXM4-80GB
/path/to/env/coronary/lib/python3.11/site-packages/monai/utils/deprecate_utils.py:321: FutureWarning: monai.transforms.spatial.dictionary Orientationd.__init__:labels: Current default value of argument `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` was changed in version None from `labels=(('L', 'R'), ('P', 'A'), ('I', 'S'))` to `labels=None`. Default value changed to None meaning that the transform now uses the 'space' of a meta-tensor, if applicable, to determine appropriate axis labels.
  warn_deprecated(argname, msg, warning_category)
device=cuda  amp=True
backbone=segresnet  参数量=6,299,649
  [构建] train 三方向切片索引（遍历 700 病例，首次慢）...
    ...20/700 病例，累计 14738 切片
    ...40/700 病例，累计 28962 切片
    ...60/700 病例，累计 43313 切片
    ...80/700 病例，累计 57569 切片
    ...100/700 病例，累计 72549 切片
    ...120/700 病例，累计 87438 切片
    ...140/700 病例，累计 102381 切片
    ...160/700 病例，累计 117222 切片
    ...180/700 病例，累计 132016 切片
    ...200/700 病例，累计 146405 切片
    ...220/700 病例，累计 160611 切片
    ...240/700 病例，累计 174859 切片
    ...260/700 病例，累计 189287 切片
    ...280/700 病例，累计 203554 切片
    ...300/700 病例，累计 218143 切片
    ...320/700 病例，累计 232385 切片
    ...340/700 病例，累计 246838 切片
    ...360/700 病例，累计 261196 切片
    ...380/700 病例，累计 275643 切片
    ...400/700 病例，累计 289968 切片
    ...420/700 病例，累计 304762 切片
    ...440/700 病例，累计 318994 切片
    ...460/700 病例，累计 333696 切片
    ...480/700 病例，累计 348047 切片
    ...500/700 病例，累计 361965 切片
    ...520/700 病例，累计 376406 切片
    ...540/700 病例，累计 390757 切片
    ...560/700 病例，累计 405335 切片
    ...580/700 病例，累计 419404 切片
    ...600/700 病例，累计 433513 切片
    ...620/700 病例，累计 447420 切片
    ...640/700 病例，累计 462024 切片
    ...660/700 病例，累计 476465 切片
    ...680/700 病例，累计 491012 切片
    ...700/700 病例，累计 505618 切片
  [完成] train: 505618 切片（正 405418 / 负 100200）
  [构建] val 三方向切片索引（遍历 100 病例，首次慢）...
    ...20/100 病例，累计 14729 切片
    ...40/100 病例，累计 29192 切片
    ...60/100 病例，累计 43778 切片
    ...80/100 病例，累计 58555 切片
    ...100/100 病例，累计 73052 切片
  [完成] val: 73052 切片（正 58569 / 负 14483）
train batches=15452  val batches=2327

--- Epoch 1/70 (lr=3.00e-04) ---
    [train] iter 20/15452  loss=1.2996
    [train] iter 40/15452  loss=1.2671
    [train] iter 60/15452  loss=1.2414
    [train] iter 80/15452  loss=1.2115
    [train] iter 100/15452  loss=1.1853
    [train] iter 120/15452  loss=1.1574
    [train] iter 140/15452  loss=1.1306
    [train] iter 160/15452  loss=1.1040
    [train] iter 180/15452  loss=1.0526
    [train] iter 200/15452  loss=1.0652
    [train] iter 220/15452  loss=1.0302
    [train] iter 240/15452  loss=0.9253
    [train] iter 260/15452  loss=0.8812
    [train] iter 280/15452  loss=0.8430
    [train] iter 300/15452  loss=0.7573
    [train] iter 320/15452  loss=0.6719
    [train] iter 340/15452  loss=0.7365
    [train] iter 360/15452  loss=0.7815
    [train] iter 380/15452  loss=0.6320
    [train] iter 400/15452  loss=0.6821
    [train] iter 420/15452  loss=0.6606
    [train] iter 440/15452  loss=0.5324
    [train] iter 460/15452  loss=0.4509
    [train] iter 480/15452  loss=0.5327
    [train] iter 500/15452  loss=0.5265
    [train] iter 520/15452  loss=0.7027
    [train] iter 540/15452  loss=0.6793
    [train] iter 560/15452  loss=0.6298
    [train] iter 580/15452  loss=0.5614
    [train] iter 600/15452  loss=0.4734
    [train] iter 620/15452  loss=0.4945
    [train] iter 640/15452  loss=0.4920
    [train] iter 660/15452  loss=0.5898
    [train] iter 680/15452  loss=0.4213
    [train] iter 700/15452  loss=0.6132
    [train] iter 720/15452  loss=0.4480
    [train] iter 740/15452  loss=0.4678
    [train] iter 760/15452  loss=0.3345
    [train] iter 780/15452  loss=0.4946
    [train] iter 800/15452  loss=0.6014
    [train] iter 820/15452  loss=0.4476
    [train] iter 840/15452  loss=0.4203
    [train] iter 860/15452  loss=0.4445
    [train] iter 880/15452  loss=0.4584
    [train] iter 900/15452  loss=0.4473
    [train] iter 920/15452  loss=0.4021
    [train] iter 940/15452  loss=0.4696
    [train] iter 960/15452  loss=0.4481
    [train] iter 980/15452  loss=0.3623
    [train] iter 1000/15452  loss=0.4398
    [train] iter 1020/15452  loss=0.5397
    [train] iter 1040/15452  loss=0.3405
    [train] iter 1060/15452  loss=0.4226
    [train] iter 1080/15452  loss=0.4282
    [train] iter 1100/15452  loss=0.3960
    [train] iter 1120/15452  loss=0.3229
    [train] iter 1140/15452  loss=0.3390
    [train] iter 1160/15452  loss=0.4846
    [train] iter 1180/15452  loss=0.4875
    [train] iter 1200/15452  loss=0.4271
    [train] iter 1220/15452  loss=0.3411
    [train] iter 1240/15452  loss=0.3529
    [train] iter 1260/15452  loss=0.4805
    [train] iter 1280/15452  loss=0.4606
    [train] iter 1300/15452  loss=0.6179
    [train] iter 1320/15452  loss=0.5579
    [train] iter 1340/15452  loss=0.4177
    [train] iter 1360/15452  loss=0.5403
    [train] iter 1380/15452  loss=0.3605
    [train] iter 1400/15452  loss=0.4369
    [train] iter 1420/15452  loss=0.4730
    [train] iter 1440/15452  loss=0.4600
    [train] iter 1460/15452  loss=0.3719
    [train] iter 1480/15452  loss=0.3555
    [train] iter 1500/15452  loss=0.5216
    [train] iter 1520/15452  loss=0.4528
    [train] iter 1540/15452  loss=0.5127
    [train] iter 1560/15452  loss=0.5061
    [train] iter 1580/15452  loss=0.5123
    [train] iter 1600/15452  loss=0.4650
    [train] iter 1620/15452  loss=0.4806
    [train] iter 1640/15452  loss=0.4651
    [train] iter 1660/15452  loss=0.4328
    [train] iter 1680/15452  loss=0.3860
    [train] iter 1700/15452  loss=0.3909
    [train] iter 1720/15452  loss=0.5617
    [train] iter 1740/15452  loss=0.4462
    [train] iter 1760/15452  loss=0.4181
    [train] iter 1780/15452  loss=0.3643
    [train] iter 1800/15452  loss=0.4927
    [train] iter 1820/15452  loss=0.4603
    [train] iter 1840/15452  loss=0.4644
    [train] iter 1860/15452  loss=0.3558
    [train] iter 1880/15452  loss=0.3168
    [train] iter 1900/15452  loss=0.4212
    [train] iter 1920/15452  loss=0.2756
    [train] iter 1940/15452  loss=0.3859
    [train] iter 1960/15452  loss=0.5036
    [train] iter 1980/15452  loss=0.5457
    [train] iter 2000/15452  loss=0.4225
    [train] iter 2020/15452  loss=0.5851
    [train] iter 2040/15452  loss=0.4308
    [train] iter 2060/15452  loss=0.3805
    [train] iter 2080/15452  loss=0.3781
    [train] iter 2100/15452  loss=0.1997
    [train] iter 2120/15452  loss=0.4360
    [train] iter 2140/15452  loss=0.4475
    [train] iter 2160/15452  loss=0.4640
    [train] iter 2180/15452  loss=0.3809
    [train] iter 2200/15452  loss=0.4263
    [train] iter 2220/15452  loss=0.3480
    [train] iter 2240/15452  loss=0.3894
    [train] iter 2260/15452  loss=0.4685
    [train] iter 2280/15452  loss=0.4160
    [train] iter 2300/15452  loss=0.4075
    [train] iter 2320/15452  loss=0.4638
    [train] iter 2340/15452  loss=0.3012
    [train] iter 2360/15452  loss=0.4062
    [train] iter 2380/15452  loss=0.3654
    [train] iter 2400/15452  loss=0.2782
    [train] iter 2420/15452  loss=0.4375
    [train] iter 2440/15452  loss=0.4176
    [train] iter 2460/15452  loss=0.5115
    [train] iter 2480/15452  loss=0.5293
    [train] iter 2500/15452  loss=0.5459
    [train] iter 2520/15452  loss=0.3660
